type,id,name,URL,url_sravni,url_irec,url_otz,vk,old_vk,code,bank_id
insurance,156,Чулпан-Мед,https://www.banki.ru/insurance/companies/chulpanmed/,https://www.sravni.ru/strakhovaja-kompanija/chulpan-med/otzyvy/,,,chulpanmed,https://vk.com/chulpanmed?ysclid=lak3swh3j3476872950,chulpanmed,10453.0
insurance,157,Экспресс-Страхование,https://www.banki.ru/insurance/companies/skjekspressstrahovanie/,https://www.sravni.ru/strakhovaja-kompanija/ehkspress-strakhovanie/otzyvy/,,,,,skjekspressstrahovanie,10418.0
insurance,158,Энергогарант,https://www.banki.ru/insurance/companies/jenergogarant/,https://www.sravni.ru/strakhovaja-kompanija/energogarant/otzyvy/,https://irecommend.ru/content/strakhovaya-kompaniya-energogarant,https://otzovik.com/reviews/strahovaya_kompaniya_energogarant_rf_g_moscow/,energogarant_ru,https://vk.com/energogarant_ru?ysclid=lak3tc92mr560491543,jenergogarant,10331.0
insurance,159,ЭчДиАй Глобал,https://www.banki.ru/insurance/companies/jechdiaystrahovanie/,https://www.sravni.ru/strakhovaja-kompanija/echdiiayglobal/otzyvy/,,,,,jechdiaystrahovanie,10323.0
insurance,160,Ю-Лайф,https://www.banki.ru/insurance/companies/ulife/,https://www.sravni.ru/strakhovaja-kompanija/yugoriya-jizn/otzyvy/,,,ulife,https://vk.com/ulife?ysclid=lak3tq018g747723738,ulife,10271.0
broker_i_uk,0,Цифра брокер,https://www.banki.ru/investment/responses/company/broker/freedomfinance/,,,,cifra.broker,https://vk.com/cifra.broker?ysclid=lak3tzumj4669728138,freedomfinance,10217.0
broker_i_uk,1,ИК Финам,https://www.banki.ru/investment/responses/company/broker/finam/,,,https://otzovik.com/reviews/broker_finam/,finam_ru,https://vk.com/finam_ru?ysclid=lak3u8rra2695083500,finam,10042.0
broker_i_uk,2,Открытие Брокер,https://www.banki.ru/investment/responses/company/broker/otkryitiebroker/,,,https://otzovik.com/reviews/brokerskiy_dom_otkritie_russia_moscow/,openbroker,https://vk.com/openbroker?ysclid=lak3uiw4ed946296104,otkryitiebroker,10053.0
broker_i_uk,3,Альфа-Инвестиции,https://www.banki.ru/investment/responses/company/broker/alfa-direkt/,,https://irecommend.ru/content/alfa-investitsii,https://otzovik.com/reviews/brokerskoe_obsluzhivanie_alfa-direkt/,,,alfa-direkt,10012.0
broker_i_uk,4,БКС Мир Инвестиций,https://www.banki.ru/investment/responses/company/broker/bks/,,,https://otzovik.com/reviews/broker_bks_russia_moscow/,bcs_world_of_investments,https://vk.com/bcs_world_of_investments?ysclid=lak3uzngt439891343,bks,10173.0
broker_i_uk,5,Ренессанс Брокер,https://www.banki.ru/investment/responses/company/broker/renbroker/,,,,renessans_broker,https://vk.com/renessans_broker?ysclid=lak3v75nl103134160,renbroker,10179.0
broker_i_uk,6,ИФК Солид,https://www.banki.ru/investment/responses/company/broker/solidbroker/,,,,solidbroker,https://vk.com/solidbroker?ysclid=lak3vho5xv432182678,solidbroker,10089.0
broker_i_uk,7,Банк ЦентроКредит,https://www.banki.ru/investment/responses/company/broker/CentroCredit/,https://www.sravni.ru/bank/centrokredit/otzyvy/,,,,,CentroCredit,10106.0
broker_i_uk,8,Инвестиционная палата,https://www.banki.ru/investment/responses/company/broker/investitssionnayapalata/,,,,investpalata,https://vk.com/investpalata?ysclid=lak3vz7psz340152402,investitssionnayapalata,10169.0
broker_i_uk,9,Ак Барс Финанс,https://www.banki.ru/investment/responses/company/broker/akbarsfinance/,,,,akbars_finance,https://vk.com/akbars_finance?ysclid=lak3w66lo111274780,akbarsfinance,10084.0
broker_i_uk,10,Банк Авангард,https://www.banki.ru/investment/responses/company/broker/avangard/,https://www.sravni.ru/bank/avangard/otzyvy/,https://irecommend.ru/content/avangard,https://otzovik.com/reviews/bank_avangard_russia_moscow/,bankavangard,https://vk.com/bankavangard?ysclid=lak3wf440573819289,avangard,10101.0
broker_i_uk,11,ИК Русс-Инвест,https://www.banki.ru/investment/responses/company/broker/russ-invest/,,,https://otzovik.com/reviews/ik_russ-invest/,,,russ-invest,10231.0
broker_i_uk,12,ИК «Риком-Траст»,https://www.banki.ru/investment/responses/company/broker/rikom-trast/,,,,ricom_trust,https://vk.com/ricom_trust?ysclid=lak3wzm7ku45229028,rikom-trast,10041.0
broker_i_uk,13,Тринфико,https://www.banki.ru/investment/responses/company/broker/trinfico/,,https://irecommend.ru/content/investitsionnaya-kompaniya-trinfiko,https://otzovik.com/reviews/trinfiko/,trinfico,https://vk.com/trinfico?ysclid=lak3xacvik600890374,trinfico,10061.0
broker_i_uk,14,ПАО Сбербанк,https://www.banki.ru/investment/responses/company/broker/sberbank/,https://www.sravni.ru/bank/sberbank-rossii/otzyvy/,,https://otzovik.com/reviews/pao_sberbank_sankt-peterburg/,sber,https://vk.com/sber?ysclid=lak3y52d7h944548033,sberbank,10240.0
broker_i_uk,15,Промсвязьбанк,https://www.banki.ru/investment/responses/company/broker/promsvyazbank/,https://www.sravni.ru/bank/promsvjazbank/otzyvy/,https://irecommend.ru/content/promsvyazbank,https://otzovik.com/reviews/promsvyazbank_russia_moscow/,psbank_ru,https://vk.com/psbank_ru?ysclid=lak3yg13u5698173668,promsvyazbank,10235.0
broker_i_uk,16,ИК Газинвест,https://www.banki.ru/investment/responses/company/broker/ikgazinvest/,,,,gazinvest,https://vk.com/gazinvest?ysclid=lak3ynxdes831672462,ikgazinvest,10036.0
broker_i_uk,17,Банк Зенит,https://www.banki.ru/investment/responses/company/broker/zenit/,https://www.sravni.ru/bank/bank-zenit/otzyvy/,,https://otzovik.com/reviews/bank_zenit_russia/,bank_zenit,https://vk.com/bank_zenit?ysclid=lak3yy2yi9225725166,zenit,10119.0
broker_i_uk,18,КИТ Финанс Брокер,https://www.banki.ru/investment/responses/company/broker/kitfinansbroker/,,https://irecommend.ru/content/kompaniya-kit-finans-broker-rossiya-sankt-peterburg,https://otzovik.com/reviews/kompaniya_kit_finans_broker_russia_sankt-peterburg/,brokerkf,https://vk.com/brokerkf?ysclid=lak3z69bas804824235,kitfinansbroker,10126.0
broker_i_uk,19,Газпромбанк Инвестиции,https://www.banki.ru/investment/responses/company/broker/gazprombankinvestments/,,,,gazprombank_investments,https://vk.com/gazprombank_investments?ysclid=lak3ztch28540007132,gazprombankinvestments,10200.0
broker_i_uk,20,Уралсиб Брокер,https://www.banki.ru/investment/responses/company/broker/uralcibcapital/,,https://irecommend.ru/content/uralsib-kepital-finansovye-uslugi-ooo-broker,,uralsibbroker,https://vk.com/uralsibbroker?ysclid=lak402l6x9414306050,uralcibcapital,10185.0
broker_i_uk,21,Тинькофф Инвестиции,https://www.banki.ru/investment/responses/company/broker/tcs/,,https://irecommend.ru/content/tinkoff-investitsii-brokerskii-servis-ot-bks-broker,https://otzovik.com/reviews/servis_tinkoff_investicii/,investments_tinkoff,https://vk.com/investments_tinkoff?ysclid=lak4097b3g857418935,tcs,10062.0
broker_i_uk,22,МКБ Инвестиции,https://www.banki.ru/investment/responses/company/broker/mkb-broker/,,,,mkb_investments,https://vk.com/mkb_investments?ysclid=lak40g8ixm747039464,mkb-broker,10199.0
broker_i_uk,23,Совкомбанк,https://www.banki.ru/investment/responses/company/broker/sovcombank/,https://www.sravni.ru/bank/sovkombank/otzyvy/,https://irecommend.ru/content/sovcombank-strakhovanie,https://otzovik.com/reviews/bank_sovkombank_russia/,sovcombank,https://vk.com/sovcombank?ysclid=lak40oej5z558174656,sovcombank,10237.0
broker_i_uk,24,ITinvest,https://www.banki.ru/investment/responses/company/broker/iticapital/,,,,itinvest_rus,https://vk.com/itinvest_rus?ysclid=lak40xuosr149855315,iticapital,10034.0
broker_i_uk,25,Атон,https://www.banki.ru/investment/responses/company/broker/aton/,,,https://otzovik.com/reviews/investicionnaya_kompaniya_aton/,,,aton,10141.0
broker_i_uk,26,Алор Брокер,https://www.banki.ru/investment/responses/company/broker/alorbroker/,,https://irecommend.ru/content/alor-broker-investitsii,https://otzovik.com/reviews/broker_alor/,alorbroker,https://vk.com/alorbroker?ysclid=lak41oo1sm138188693,alorbroker,10140.0
broker_i_uk,27,Россельхозбанк,https://www.banki.ru/investment/responses/company/broker/rshb/,https://www.sravni.ru/bank/rosselkhozbank/otzyvy/,https://irecommend.ru/content/rosselkhozbank,https://otzovik.com/reviews/bank_rosselhoz_bank_russia_orenburg/,rshbru,https://vk.com/rshbru?ysclid=lak41vtz12947702208,rshb,10056.0
broker_i_uk,28,Актив,https://www.banki.ru/investment/responses/company/broker/aktiv/,,,,,,aktiv,10077.0
broker_i_uk,29,СНГБ,https://www.banki.ru/investment/responses/company/broker/sngb/,https://www.sravni.ru/bank/surgutneftegazbank/otzyvy/,,https://otzovik.com/reviews/bank_surgutneftegazbank_russia/,surgutneftegasbank,https://vk.com/surgutneftegasbank?ysclid=lak429ox4t374472701,sngb,10060.0
broker_i_uk,30,General Invest,https://www.banki.ru/investment/responses/company/broker/generalinvest/,,,,club89706988,https://vk.com/club89706988?ysclid=lak42jvq5y836880664,generalinvest,10221.0
broker_i_uk,31,Райффайзенбанк,https://www.banki.ru/investment/responses/company/broker/raiffeisen/,https://www.sravni.ru/bank/rajffajzenbank/otzyvy/,https://irecommend.ru/content/raiffaizenbank,https://otzovik.com/reviews/rayffayzenbank/,raiffeisenbankrus,https://vk.com/raiffeisenbankrus?ysclid=lak42ttexz936971782,raiffeisen,10054.0
broker_i_uk,32,ВТБ Капитал Инвестиции / Банк ВТБ,https://www.banki.ru/investment/responses/company/broker/vtb/,https://www.sravni.ru/bank/vtb/otzyvy/,https://irecommend.ru/content/vtb-investitsii,https://otzovik.com/reviews/bank_vtb_24/,vtb,https://vk.com/vtb?ysclid=lak433uhoe306561790,vtb,10118.0
broker_i_uk,33,Современные Фонды Недвижимости,https://www.banki.ru/investment/responses/company/trust_company/sberfn/,,,,,,sberfn,
